website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,square_footage,amenities,amount_amenities,image_link
supercasas,https://www.supercasas.com/casas-alquiler-altos-de-arroyo-hondo-ii/1303560/,"US$ 1,800/Mes",98712.0,Altos de Arroyo Hondo II,3.0,3.5,"Altos de Arroyo Hondo II, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,450.0,Cuarto de Servicio-Patio-Terraza,3.0,https://img.supercasas.com/AdsPhotos/800x600/0/9046478.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-restauradores/1298672/,"RD$ 50,000/Mes",48314.54140831073,Los Restauradores,3.0,2.5,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,148.0,Aire Acondicionado-Ascensor-Balc�n-Cuarto de Servicio-Planta El�ctrica-Shutters,6.0,https://img.supercasas.com/AdsPhotos/800x600/0/8995722.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1304233/,"US$ 1,200/Mes",65808.0,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,50.0,Aire Acondicionado-Ascensor-Balc�n-Gimnasio-Jacuzzi-Piscina-Terraza,7.0,https://img.supercasas.com/AdsPhotos/800x600/0/9054035.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1305502/,"US$ 1,450/Mes",79518.0,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,64.0,Area de Juegos Infantiles-Balc�n-Gimnasio-Piscina-Planta El�ctrica,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9068001.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-el-vergel/1299836/,"US$ 3,500/Mes",191940.0,El Vergel,3.0,3.5,"El Vergel, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,310.0,1/2 Ba�o-Agua Potable-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Family Room-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,16.0,https://img.supercasas.com/AdsPhotos/800x600/0/9007971.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-los-restauradores/1304864/,"RD$ 45,000/Mes",43483.08726747966,Los Restauradores,3.0,2.5,"Los Restauradores, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,143.0,Ascensor-Balc�n-Cuarto de Servicio,3.0,https://img.supercasas.com/AdsPhotos/800x600/0/9060834.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1306042/,"US$ 1,250/Mes",68550.0,Naco,2.0,2.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,113.0,1/2 Ba�o-Area de Juegos Infantiles-Ascensor-Balc�n-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,11.0,https://img.supercasas.com/AdsPhotos/800x600/0/9073619.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-serralles/1306038/,"US$ 1,200/Mes",65808.0,Serralles,3.0,2.5,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,160.0,Cuarto de Servicio,1.0,https://img.supercasas.com/AdsPhotos/800x600/0/9073510.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1299826/,"US$ 2,500/Mes",137100.0,Evaristo Morales,3.0,3.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,250.0,1/2 Ba�o-Agua Potable-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Family Room-Lobby-Planta El�ctrica-Seguridad 24 Horas-Walk In Closet,11.0,https://img.supercasas.com/AdsPhotos/800x600/0/9007890.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1304207/,"US$ 1,350/Mes",74033.99999999999,Evaristo Morales,2.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,150.0,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Gimnasio-Lobby-Seguridad 24 Horas-Vestidores-Walk In Closet,13.0,https://img.supercasas.com/AdsPhotos/800x600/0/9053788.jpg
