website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,condition,current_use,square_footage,floor,elevator,buildable,construction_year,amenities,amount_amenities,image_link,banos,aguaPotable,aireAcondicionado,areaJuegosInfantiles,areaServicio,ascensor,balcon,cisterna,controlAcceso,cuartoServicio,estarFamiliar,estudio,gazebo,gimnasio,inversor,jacuzzi,lobby,patio,picuzzi,piscina,plantaElectrica,pozo,satelite,sauna,seguridad,shutters,terraza,vestidores
supercasas,https://www.supercasas.com/apartamentos-alquiler-paseo-del-parque/1299589/,"RD$ 25,000/Mes",24033.929424119564,Paseo del Parque,3.0,2.0,"Paseo del Parque, Santo Domingo Norte, Santo Domingo",Santo Domingo Norte,Santo Domingo,Segundo Uso,Residencial,0.0,5.0,0.0,1,nan,Agua Potable-Balc�n-Cisterna-Cuarto de Servicio-Gazebo,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9005316.jpg,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1301918/,"US$ 1,200/Mes",65472.0,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,61.0,0.0,1.0,0,nan,Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/9028829.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-julia/1286847/,"US$ 1,100/Mes",60016.0,La Julia,1.0,1.0,"La Julia, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,60.0,2.0,1.0,0,nan,Ascensor-Lobby-Piscina-Terraza,4.0,https://img.supercasas.com/AdsPhotos/800x600/0/8973776.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296017/,"US$ 1,600/Mes",87296.0,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,90.0,0.0,2.0,0,nan,Ascensor-Balc�n-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas,7.0,https://img.supercasas.com/AdsPhotos/800x600/0/8973929.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1293046/,"US$ 1,100/Mes",60016.0,Naco,1.0,1.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,82.0,9.0,2.0,0,nan,Area de Juegos Infantiles-Ascensor-Lobby-Planta El�ctrica-Seguridad 24 Horas,5.0,https://img.supercasas.com/AdsPhotos/800x600/0/8936962.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-piantini/1291147/,"US$ 2,500/Mes",136400.0,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,145.0,0.0,1.0,0,nan,Ascensor-Gimnasio-Jacuzzi-Lobby,4.0,https://img.supercasas.com/AdsPhotos/800x600/0/8915819.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1304479/,"US$ 1,300/Mes",70928.0,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Mixto,70.0,11.0,0.0,0,nan,Balc�n-Gimnasio-Piscina-Terraza,4.0,https://img.supercasas.com/AdsPhotos/800x600/0/9056630.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1291499/,"US$ 1,250/Mes",68200.0,Piantini,1.0,1.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,74.0,6.0,1.0,0,nan,Ascensor-Gimnasio-Lobby,3.0,https://img.supercasas.com/AdsPhotos/800x600/0/8998350.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1301722/,"US$ 1,400/Mes",76383.99999999999,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,76.0,0.0,1.0,0,nan,Aire Acondicionado-Area de Juegos Infantiles-Ascensor-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,8.0,https://img.supercasas.com/AdsPhotos/800x600/0/9026968.jpg,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1296453/,"US$ 1,400/Mes",76383.99999999999,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,70.0,0.0,2.0,0,nan,Ascensor-Gimnasio-Lobby-Piscina-Planta El�ctrica-Seguridad 24 Horas-Terraza,7.0,https://img.supercasas.com/AdsPhotos/800x600/0/8972325.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
